,name,epochs,hidden,dropout,cell_type,latentDim,optimiser,batch_size,numDecoders,numEncoders,best_val_loss,_runtime,accuracy,_timestamp,best_epoch,val_loss,val_accuracy,loss,_step,epoch,graph
125,LSTMen2_te_1_rmsprop_20_0.3_64_256,20,64,0.3,LSTM,256,rmsprop,64,1,2,1.4632622003555298,177.0,0.8894301652908325,1620519887.0,2.0,1.6651893854141235,0.7678579688072205,0.3700251579284668,9.0,9.0,"{'path': 'media/graph/graph_summary_4fc083e6.graph.json', 'size': 1110, '_type': 'graph-file', 'sha256': '4fc083e6f6002878fbc65d3fc8b4be93349cd4071b296dd115ad969ece88ba76'}"
126,LSTMen2_te_1_rmsprop_10_0.2_64_256,10,128,0.2,LSTM,256,rmsprop,64,1,2,1.528633713722229,182.0,0.9203726649284364,1620519690.0,0.0,1.888243317604065,0.764144241809845,0.2630208432674408,9.0,9.0,"{'path': 'media/graph/graph_summary_24166d79.graph.json', 'size': 1111, '_type': 'graph-file', 'sha256': '24166d79a288bad89acdd21a5cfa740f4361904bfdc6ae88e4c82a84dcc31c7f'}"
127,LSTMen1_te_1_rmsprop_15_0.2_64_256,15,128,0.2,LSTM,256,rmsprop,64,1,1,1.4449437856674194,190.0,0.92292058467865,1620519492.0,0.0,1.881913423538208,0.7774248123168945,0.252623587846756,13.0,13.0,"{'path': 'media/graph/graph_summary_6ce5ca7a.graph.json', 'size': 940, '_type': 'graph-file', 'sha256': '6ce5ca7ad69ea1108c7363b4920d5bb6eea3bee0f225bcf1c1c0970d56262ae1'}"
128,LSTMen2_te_1_rmsprop_20_0.1_64_256,20,32,0.1,LSTM,256,rmsprop,64,1,2,1.610889554023743,197.0,0.948302924633026,1620519281.0,0.0,2.120387554168701,0.7647461891174316,0.1730055809020996,10.0,10.0,"{'path': 'media/graph/graph_summary_d7d1d073.graph.json', 'size': 1109, '_type': 'graph-file', 'sha256': 'd7d1d07377021164047badabf2a0f38135cb548809ed2eff9a30ba0b7c58814c'}"
129,GRUen1_te_1_rmsprop_20_0.2_64_256,20,128,0.2,GRU,256,rmsprop,64,1,1,1.497823715209961,140.0,0.916136920452118,1620519068.0,0.0,1.7799919843673706,0.7800272107124329,0.27772143483161926,10.0,10.0,"{'path': 'media/graph/graph_summary_7f620db4.graph.json', 'size': 883, '_type': 'graph-file', 'sha256': '7f620db4b2df840216c14ba35b80526c96efecbf6ebed662c61a4112f1365b40'}"
130,LSTMen1_te_2_rmsprop_15_0.1_64_256,15,128,0.1,LSTM,256,rmsprop,64,2,1,1.4586527347564695,225.0,0.9510480761528016,1620518906.0,0.0,2.4432525634765625,0.7736554741859436,0.15932689607143402,12.0,12.0,"{'sha256': 'd8a56540aa467d935a691ec7a4672614914b5dfe5eee158a57bed2e3cc8d5d75', 'path': 'media/graph/graph_summary_d8a56540.graph.json', 'size': 1149, '_type': 'graph-file'}"
131,LSTMen2_te_1_rmsprop_10_0.3_64_256,10,32,0.3,LSTM,256,rmsprop,64,1,2,1.5059021711349487,176.0,0.8879698514938354,1620518660.0,1.0,1.6080011129379272,0.7758041024208069,0.3790602087974548,9.0,9.0,"{'path': 'media/graph/graph_summary_d7d1d073.graph.json', 'size': 1109, '_type': 'graph-file', 'sha256': 'd7d1d07377021164047badabf2a0f38135cb548809ed2eff9a30ba0b7c58814c'}"
132,LSTMen1_te_2_rmsprop_10_0.1_64_256,10,32,0.1,LSTM,256,rmsprop,64,2,1,1.3116130828857422,176.0,0.9410457015037536,1620518462.0,0.0,2.0137157440185547,0.7548366785049438,0.1965838521718979,9.0,9.0,"{'path': 'media/graph/graph_summary_0a46813d.graph.json', 'size': 1147, '_type': 'graph-file', 'sha256': '0a46813de82010be2bb773f509b3295357adccd9ffbe22d64c429e16a00d0373'}"
133,LSTMen1_te_1_rmsprop_20_0.1_64_256,20,16,0.1,LSTM,256,rmsprop,64,1,1,1.4719496965408323,153.0,0.9336363673210144,1620518259.0,0.0,2.117405414581299,0.766626238822937,0.22764793038368225,10.0,10.0,"{'path': 'media/graph/graph_summary_9e36f414.graph.json', 'size': 938, '_type': 'graph-file', 'sha256': '9e36f414c96af524dab0829edca244a67df33a41bbf43459ba48001a277fe02f'}"
134,LSTMen1_te_2_rmsprop_20_0.2_64_256,20,16,0.2,LSTM,256,rmsprop,64,2,1,1.4011310338974,197.0,0.9133801460266112,1620518085.0,0.0,1.7883514165878296,0.775072455406189,0.29612669348716736,10.0,10.0,"{'path': 'media/graph/graph_summary_67c985b5.graph.json', 'size': 1147, '_type': 'graph-file', 'sha256': '67c985b5de33723ea7ce0ba73633f172f0cf263bac64ddd38a2902d26a63785f'}"
135,LSTMen2_te_1_rmsprop_20_0.1_64_256,20,32,0.1,LSTM,256,rmsprop,64,1,2,1.6089895963668823,181.0,0.946801483631134,1620517866.0,0.0,2.2078237533569336,0.7670800089836121,0.17824092507362366,9.0,9.0,"{'path': 'media/graph/graph_summary_d7d1d073.graph.json', 'size': 1109, '_type': 'graph-file', 'sha256': 'd7d1d07377021164047badabf2a0f38135cb548809ed2eff9a30ba0b7c58814c'}"
136,LSTMen1_te_1_rmsprop_15_0.1_64_256,15,32,0.1,LSTM,256,rmsprop,64,1,1,1.3575928211212158,147.0,0.9428957104682922,1620517667.0,0.0,1.7899662256240845,0.7802865505218506,0.1908053308725357,10.0,10.0,"{'sha256': 'e931aaffcecb3d71262022eb1914b7e98ddb34f62721f9ad038f9cda5fb1c10c', 'path': 'media/graph/graph_summary_e931aaff.graph.json', 'size': 938, '_type': 'graph-file'}"
137,LSTMen2_te_2_rmsprop_10_0.2_64_256,10,16,0.2,LSTM,256,rmsprop,64,2,2,1.494920253753662,210.0,0.9168705940246582,1620517495.0,0.0,1.808542013168335,0.7678672075271606,0.28563961386680603,9.0,9.0,"{'path': 'media/graph/graph_summary_afd25052.graph.json', 'size': 1322, '_type': 'graph-file', 'sha256': 'afd25052796cb168bea6f9beeb6bc1ed8de33647524ebbfa6f725c10e2fac02d'}"
